"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL3182512";"";"";"Small molecule";"0";"74.16";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"74.0188";"None";"C2H6OSi";"C[Si](C)=O"
"CHEMBL3185538";"";"";"Small molecule";"0";"88.07";"";"";"-0.09";"65.18";"4";"2";"0";"1";"N";"0.27";"8.54";"1.16";"0.02";"-0.01";"0";"MOL";"-1";"6";"4";"2";"0";"88.0273";"NEUTRAL";"C2H4N2O2";"ON=CC=NO"
"CHEMBL291627";"";"2-Aminoimidazole";"Small molecule";"0";"83.09";"5";"7";"-0.01";"54.70";"2";"2";"0";"0";"Y";"0.46";"13.93";"9.33";"-0.29";"-1.31";"1";"MOL";"-1";"6";"3";"3";"0";"83.0483";"BASE";"C3H5N3";"Nc1ncc[nH]1"
"CHEMBL3304035";"";"";"Small molecule";"0";"90.15";"";"";"-0.15";"49.87";"2";"3";"0";"1";"Y";"0.23";"8.58";"12.70";"-0.10";"-1.30";"0";"MOL";"-1";"5";"2";"3";"0";"90.0252";"BASE";"C2H6N2S";"N=C(N)CS"
"CHEMBL56672";"";"";"Small molecule";"0";"84.08";"";"";"-0.40";"52.89";"2";"1";"0";"0";"Y";"0.32";"4.51";"None";"-0.83";"-1.76";"0";"MOL";"-1";"6";"3";"1";"0";"84.0324";"ACID";"C3H4N2O";"CC(=O)NC#N"
"CHEMBL45315";"";"Pentan-3-one";"Small molecule";"0";"86.13";"6";"6";"1.38";"17.07";"1";"0";"0";"2";"Y";"0.50";"None";"None";"1.51";"1.51";"0";"MOL";"-1";"6";"1";"0";"0";"86.0732";"NEUTRAL";"C5H10O";"CCC(=O)CC"
"CHEMBL1213482";"";"";"Small molecule";"0";"98.10";"1";"1";"0.65";"37.30";"1";"1";"0";"1";"Y";"0.49";"4.35";"None";"0.44";"-2.49";"0";"MOL";"-1";"7";"2";"1";"0";"98.0368";"ACID";"C5H6O2";"CC1=CC1C(=O)O"
"CHEMBL9421";"";"N-Ethyl-Formamide";"Small molecule";"0";"73.09";"1";"3";"-0.25";"29.10";"1";"1";"0";"2";"Y";"0.45";"None";"None";"-0.50";"-0.50";"0";"MOL";"-1";"5";"2";"1";"0";"73.0528";"NEUTRAL";"C3H7NO";"CCNC=O"
"CHEMBL569461";"DIMETHYLAMINE HCL";"Dimethylamine Hcl";"Small molecule";"0";"81.55";"6";"7";"-0.16";"12.03";"1";"1";"0";"0";"Y";"0.40";"None";"10.52";"-0.19";"-3.07";"0";"MOL";"-1";"3";"1";"1";"0";"45.0578";"BASE";"C2H8ClN";"CNC.Cl"
"CHEMBL302326";"";"1-Methyl-Pyridinium|N-Methylpyridinium";"Small molecule";"0";"94.14";"9";"10";"0.51";"3.88";"0";"0";"0";"0";"Y";"0.41";"None";"None";"-3.19";"-3.19";"1";"MOL";"-1";"7";"1";"0";"0";"94.0651";"NEUTRAL";"C6H8N+";"C[n+]1ccccc1"
"CHEMBL279897";"";"";"Small molecule";"0";"99.13";"3";"6";"1.41";"32.59";"2";"1";"0";"1";"Y";"0.30";"11.64";"3.61";"1.17";"1.17";"0";"MOL";"-1";"7";"2";"1";"0";"99.0684";"NEUTRAL";"C5H9NO";"C/C=C(C)/C=N/O"
"CHEMBL102029";"";"";"Small molecule";"0";"85.11";"1";"1";"-1.11";"50.08";"3";"3";"0";"0";"Y";"0.35";"None";"6.35";"-0.74";"-0.78";"0";"MOL";"-1";"6";"3";"4";"0";"85.0640";"NEUTRAL";"C3H7N3";"NC1NC=CN1"
"CHEMBL440914";"";"";"Small molecule";"0";"98.10";"1";"3";"0.77";"33.37";"2";"1";"0";"1";"Y";"0.56";"None";"None";"0.35";"0.35";"1";"MOL";"-1";"7";"2";"1";"0";"98.0368";"NEUTRAL";"C5H6O2";"OCc1ccoc1"
"CHEMBL2112024";"";"2-Methyl-Isothiourea";"Small molecule";"0";"89.15";"2";"37";"0.24";"49.87";"2";"2";"0";"0";"Y";"0.33";"None";"10.63";"0.41";"-1.94";"0";"MOL";"-1";"5";"2";"3";"0";"90.0252";"BASE";"C2H6N2S";"[11CH3]SC(=N)N"
"CHEMBL4560126";"";"";"";"0";"93.08";"1";"3";"0.66";"26.03";"2";"0";"0";"0";"Y";"0.44";"None";"None";"0.44";"0.44";"1";"MOL";"-1";"7";"2";"0";"0";"93.0215";"NEUTRAL";"C5H3NO";"C#Cc1ncco1"
