,terminal_group_1,terminal_group_2,terminal_group_3,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,frac-1,frac-2,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,backbone
6120,fluorophenyl,carboxyl,cyano,0.11603073283333333,14.5268,11.287,0.7864161042000001,0.5728807885,3.67022575,3.5527339999999996,120.87225725,75.774438,17,6.643237625,5.207107,5.764538875,4.447214,1.889538875,1.447214,3.42027575,2.56066,2.6291126250000003,1.973607,0.7260192499999999,0.4736070000000001,0.312320625,0.111803,0.312320625,0.111803,0.074311375,0.0,0.074311375,0.0,0.03715575,0.0,0.03715575,0.0,22.25,16.0,0.9904415144,0.9808830287,0.25,0.75,1.0,-0.56,-0.61,0.4108005,0.161141,1.013120875,0.49,-1.559194875,-4.470784,5.2039352404666674,173.929842375,12.164797,1658.5313587034,0.0964740597,30.242864125,23.711684,0.5657924999999999,0.52988,52.906375,38.029,56.777845125,41.026549,4.0,3.0,0.0898970712,1.6193000000000002e-05,0.9176516739,0.8353195407999999,0.05966723910000001,0.0,13.494380189600001,0.000185262,47.33317456929999,11.421488754,60.4437102471,11.42167404,0.5,0.0,0.9367444852,0.650079559,0.3339915,0.295557,0.801808,0.6036159999999999,0.0295736554,0.0,25.882500000000004,23.79000000000001,17.33001325,17.033389,11.466629625,5.261892,0.7607167499999999,0.5214335,0.34021462500000005,0.236009,0.14110899999999998,0.0,0.659785375,0.55557975,0.09817425,0.0,21.75889725,21.2225135,2.775189375,0.0,4.26255625,0.0,0.2392832500000001,0.0,alkylsilane
5451,difluoromethyl,carboxyl,toluene,0.112134717,24.408925,12.90185,0.4852749655000001,0.351941749,3.82908275,3.785534,246.9490035,87.781131,17,10.651222375,6.83834275,9.9006775,5.801355,2.9006775,1.8013549999999998,5.655143,3.4235349999999998,4.790931875,2.58186375,1.3253385,0.6506770000000001,0.76534775,0.2806955,0.76534775,0.2806955,0.3125,0.0,0.3125,0.0,0.15625,0.0,0.15625,0.0,33.25,24.5,0.9691575278,0.9497975320000002,0.25,0.75,0.0,-0.6062500000000001,-0.7799999999999999,0.668322125,0.49847425,1.6753930000000004,1.5675,1.3028819999999999,1.038264,1.9942805883333328,1852.603710875,32.06204675,0.0616494636,0.007892092,46.899827125,29.58866225,1.3447325,0.386025,76.80375,57.5195,83.80056175,61.5228735,6.0,4.0,0.2311714229,0.1495257387,0.7894217348999999,0.6988056090000001,0.17636682310000004,0.137752667,48.2256437739,7.8839741848,121.9968099626,46.1226980543,167.7816924864,52.416027907700006,1.5,1.0,1.4080475072999998,1.0580229285,0.297079,0.14965499999999998,0.3784987500000001,0.141289,0.1588248211,0.062321050999999995,13.987500000000002,0.0,15.22611125,13.707585,30.168025625,11.33568925,0.7014821250000001,0.40296425,0.593092625,0.40477925,0.17126425,0.0,0.406907375,0.218594,0.12725375,0.0,37.007402375,11.30685775,3.575376375,0.0,4.811358125,0.0,0.29851787500000004,0.0,alkylsilane
5873,ethylene,hydroxyl,cyano,0.1195326477,10.680925,10.07485,0.7068079342,0.4136644485,3.51449025,3.4762465,67.591910375,59.40938275,17,5.513056250000001,5.207107,5.0017,4.447214,1.2517,1.056186,2.722334875,2.56066,2.216443,1.973607,0.37585,0.278093,0.07152649999999999,0.03125,0.07152649999999999,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.0,0.9799162066,0.9598324133,0.25,0.75,1.0,-0.3025,-0.51,0.086021625,0.01090225,-9.8025,-20.095,-42.01366125,-79.5565385,2.920634139133333,16.90298625,12.164797,1658.9606751612,0.9551069755,22.72202525,21.7323665,0.267165,0.00445,34.022375,30.01575,37.778973875,34.53139875,2.625,2.25,0.1369777785,1.6193000000000002e-05,0.8630222374000001,0.7260606678,2.3653e-06,0.0,0.6563337939,0.000185262,8.251009956,5.080531158,8.9073434596,6.3930128792,0.5,0.0,0.5521189982,0.4541584375,0.3733391250000001,0.295557,0.92762775,0.8552554999999998,3.95e-08,0.0,19.48125,15.1725,14.262799,11.492209,6.976124375,5.261892,0.8613639999999999,0.7227279999999999,0.31413325000000003,0.236009,0.108297375,0.0,0.6858667500000001,0.6077425,0.030338625,0.0,18.786420375,15.27755975,0.5367000000000001,0.0,1.915803,0.0,0.13863599999999998,0.0,alkylsilane
216,acetyl,ethylene,cyano,0.11494181300000005,13.699999999999998,11.287,0.7829950278000001,0.5660391825000001,3.9759937499999993,3.5527339999999996,100.332467,75.774438,17,6.66156625,5.207107,6.075669,4.447214,1.5756690000000002,1.447214,3.28252,2.56066,2.7878345,1.973607,0.5378345,0.4736070000000001,0.1694325,0.111803,0.1694325,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,16.0,0.9922709188,0.9845418375,0.5,0.5,0.0,-0.4025,-0.51,0.149078,0.137015,0.8475,0.49,-3.3444305,-4.470784,1.2908280743,34.49492825,12.164797,1641.048688936,0.165591225,27.67330075,23.711684,0.7118399999999999,0.52988,41.03075,38.029,45.53547825,41.026549,3.25,3.0,0.0874868475,1.6376e-05,0.9279816878,0.8559797515,0.0733437442,0.0,3.2142431652999996,0.00018712100000000005,21.7495458582,11.412437724,24.131417831999997,11.412624869000002,0.75,0.0,0.815888775,0.649821689,0.30656975000000003,0.295557,0.8457089999999999,0.691418,0.09134487880000004,0.0,16.1625,8.535,14.0747815,11.116174,12.114277,5.261892,0.963126,0.926252,0.43593525,0.236009,0.036874,0.0,0.56406475,0.3641385,0.0,0.0,24.99042425,22.295281,0.0,0.0,1.19863425,0.0,0.036874,0.0,alkylsilane
7922,nitro,fluorophenyl,acetyl,0.11701996483333335,21.468675,16.355,0.5140651289,0.4612236088,4.05366125,3.7083315,215.12017375,124.052368,17,9.534882,8.57735,8.62882425,7.908247999999999,2.62882425,1.908248,4.94855725,4.154701,4.152774625,3.704124,1.152774625,0.7041239999999999,0.642569,0.32912399999999997,0.642569,0.32912399999999997,0.222934125,0.0,0.222934125,0.0,0.11146725,0.0,0.11146725,0.0,30.75,24.0,0.9739768649,0.9632626538,0.25,0.75,0.0,-0.5587500000000001,-0.7875000000000001,0.90781725,0.231621,1.660612625,1.6512252500000002,1.384841375,1.09968275,1.6537065275666667,497.364708375,63.57980799999999,0.0780815186,0.0610459462,42.154885,34.06048,1.0845575,0.5953,71.921125,52.032,77.91792149999998,58.041865,5.5,4.0,0.2126821159,0.17400327700000004,0.8182405521000001,0.7486390451999999,0.1466645228,4.9425000000000005e-06,37.771946793000005,9.356580397,103.39655306709999,47.788178091999995,139.50492012450002,53.817599027,1.5,1.0,1.3312624742,1.1222053159999998,0.3474332500000001,0.2905095,0.7111943750000002,0.46057475,0.1825657475,0.0,13.9275,10.785000000000002,14.785023875,14.007796,25.879238,18.498321,0.8486616250000001,0.84481925,0.60542975,0.569072,0.151338375,0.14749600000000002,0.39457025,0.3582125,0.0,0.0,35.35629799999999,27.71158,0.0,0.0,5.307963875,4.794537,0.151338375,0.14749600000000002,alkylsilane
8081,nitro,phenyl,fluorophenyl,0.1069656252,28.875425,26.61385,0.3700534834000001,0.3645223030000001,3.69453375,3.680736,341.35096225,302.9265925,17,11.228258000000002,10.492414,10.34694575,9.8159275,3.47194575,3.0659274999999995,6.20891975,5.7424135000000005,5.136835375,4.83468875,1.6993353749999998,1.45968875,1.00162975,0.8142774999999999,1.00162975,0.8142774999999999,0.4847455,0.375,0.4847455,0.375,0.242373,0.1875,0.242373,0.1875,37.5,33.0,0.927543686,0.902671335,0.25,0.75,0.0,-0.7925000000000001,-0.85,1.232920625,1.15382325,1.644646875,1.5543267500000002,0.8931881250000001,0.7867992500000001,1.8163909445333333,1083.493515875,931.14960875,0.0337630915,0.008007281,52.987770125,48.17886625,1.8018049999999999,1.4694899999999995,90.318375,77.56175,97.17711125,84.30104449999997,7.125,6.25,0.3475767009000001,0.30472534700000004,0.6524232991000001,0.6095719452,5.939100000000001e-06,5.2882000000000005e-06,75.9763192019,65.0851491057,137.5925376946,76.9541598953,213.568856883,142.039308994,1.0,1.0,1.5455028224000005,1.3686425256999997,0.237672,0.21008400000000002,0.34519125,0.2429495,0.0,0.0,5.392500000000001,0.0,13.819968125,12.22740525,37.737295625,34.49915725,0.912677,0.903215,0.7099964999999999,0.6933229999999999,0.087323,0.077861,0.29000349999999997,0.27333,0.0,0.0,48.0977665,44.197983,0.0,0.0,3.45949725,2.5285795,0.087323,0.077861,alkylsilane
1762,difluoromethyl,fluorophenyl,nitro,0.11620252943333335,17.16295,12.9184,0.60354786,0.45573199299999995,3.820841,3.791118,154.4116815,85.425922,17,7.7797005000000015,6.07735,6.540328249999999,4.76371,2.29032825,1.7637100000000003,3.9530445,2.943376,3.061114,2.088755,0.936114,0.588755,0.49090325,0.25711,0.49090325,0.25711,0.14862275,0.0,0.14862275,0.0,0.0743115,0.0,0.0743115,0.0,29.0,24.0,0.9817270265000001,0.9676535540000001,0.5,0.5,0.0,-0.5475,-0.6000000000000001,1.69402325,0.9880465,1.5987417499999996,1.3999999999999997,1.4148942500000004,1.3999999999999997,1.5522301306333333,322.8289535,17.086166,0.1330362387,0.0458147835,35.516524,27.60713800000001,0.7978299999999999,-0.1071,70.28125,58.01600000000001,74.52851025,61.016378,5.0,4.0,0.167810753,0.09125968,0.8466474827,0.7845546455,0.095633242,0.0,26.4086921173,4.147210897,82.6478971237,41.340095526,108.2340632817,45.487306403999995,1.0,1.0,1.1929361365,0.994335416,0.3878359999999999,0.366258,0.485809,0.47161800000000004,0.1960237082,0.0,21.570000000000004,0.0,14.829972500000002,13.648531,19.209198,10.114318,0.64903025,0.6128600000000001,0.5172640000000001,0.38714,0.292811,0.198482,0.482736,0.352612,0.058159,0.0,24.08882625,16.011414000000002,1.6003739999999995,0.0,8.34997025,6.5856225,0.35096975,0.3147995,alkylsilane
6567,hydroxyl,fluorophenyl,nitrophenyl,0.11597904986666667,31.610925,25.388449999999995,0.4104047311,0.36423446530000003,3.66285675,3.5526745,380.564211125,294.15724125,17,11.908152625,10.27485325,10.5746225,9.385535,3.9496225,3.1355349999999995,6.61642225,5.6467345,5.22304225,4.6073295,1.92201125,1.5052674999999998,1.18622675,0.8917364999999999,1.18622675,0.8917364999999999,0.620123125,0.44586825,0.620123125,0.44586825,0.31006175,0.22293449999999995,0.31006175,0.22293449999999995,43.5,35.0,0.9617886565,0.9522285150000002,0.25,0.75,2.0,-1.01375,-1.38,1.54044525,0.9841135,-1.5997203749999998,-5.45877475,-12.003742625,-25.26031725,2.1603579329333336,1908.45326725,929.9192665,0.155401428,0.006058726,58.220814375,48.15751475,1.7029675,1.502715,107.195375,84.30875,113.797057625,90.54643725,8.25,6.5,0.27139627,0.237622213,0.72860373,0.6948296730000001,7.2022e-06,4.9425000000000005e-06,95.575671339,65.296507337,276.4220071327,149.0032672975,371.9976784265,214.29977462,1.5,1.0,1.7236501525,1.373044134,0.353903375,0.33008475,0.474182375,0.3627900000000001,0.0,0.0,24.09875,5.0575,23.497799625,14.70475525,33.31163825,32.0087775,0.806500125,0.7638199999999999,0.5672828750000001,0.517365,0.14088399999999998,0.13059400000000002,0.4327171250000001,0.38279925,0.052615875000000006,0.02022575,46.44467925,41.7857195,3.022593,0.35779999999999995,7.342165625,4.57001325,0.193499875,0.15081975,alkylsilane
2059,ethylene,methoxy,ethylene,0.121778876,15.1365,14.402,0.5562621080000001,0.5471311670000001,4.2362415,4.072967,113.34932625,100.9700285,17,7.6678025,7.654700999999998,7.477061999999999,7.454124,1.477062,1.454124,3.8173209999999997,3.780583,3.477062,3.454124,0.477062,0.45412399999999997,0.1192655,0.11353099999999999,0.1192655,0.11353099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,18.0,0.9834117015,0.982413227,0.5,0.5,0.0,-0.205,-0.26,0.05016275,0.042408999999999995,0.795,0.74,-11.3396155,-16.573076999999998,0.6722292562000001,44.4116685,38.753026,0.236686419,0.236166354,29.0689065,28.928458000000006,0.959875,0.72745,37.03,36.033,43.04567875,42.04695,3.0,3.0,0.1810732608,0.175804638,0.8590205510000001,0.8241953670000001,0.08675413400000001,9.651e-06,3.630835026,3.492125607,17.2339831235,16.377051061,20.040722599200002,19.869176611,1.25,1.0,0.8392766943000001,0.8369946355000001,0.20723725,0.18366649999999998,0.5657665,0.421022,0.1402330615,1e-08,2.3075,0.0,11.743528,8.224552000000001,15.760468,12.085933,0.95620075,0.9124015,0.5707875,0.438924,0.04379925,0.0,0.4292125,0.297349,0.0,0.0,26.31978025,24.9800055,0.0,0.0,1.18421575,0.0,0.04379925,0.0,alkylsilane
2681,isopropyl,methoxy,cyano,0.1160345271,14.00475,11.287,0.7300987178,0.4602465625,4.098653,3.552734,98.338443,75.774438,17,7.53033025,5.207107,7.075669,4.447214,1.575669,1.447214,3.64460675,2.56066,3.2763655,1.973607,0.5263654999999999,0.473607,0.17516700000000002,0.111803,0.17516700000000002,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,16.0,0.985476231,0.9709524620000001,0.5,0.5,0.0,-0.265,-0.51,0.1289265,0.096712,0.985,0.49,-8.995391999999997,-13.52,0.86150543515,90.9614615,12.164797,1641.0377718423001,0.14375703750000002,29.48867775,23.711683999999998,0.746165,0.52988,41.03075,38.029,46.54330325,41.026549,3.25,3.0,0.1178150402,1.6376e-05,0.9600723352,0.9201610465000001,0.2189610105,0.0,5.4718883145,0.000187121,24.9283417035,11.412437724,27.117128668499998,11.412624869000002,0.5,0.0,0.8480038550000001,0.649821689,0.21267025,0.1297835,0.8159115,0.6318229999999999,0.2599229305,0.0,14.2025,4.615,17.518704999999994,17.033389,10.42757025,5.261892,0.95620075,0.9124015,0.32646675,0.236009,0.04379925,0.0,0.67353325,0.5830755,0.0,0.0,26.7620595,22.295281,0.0,0.0,1.18421575,0.0,0.04379925,0.0,alkylsilane
