,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min
4002,amino,pyrrole,fluorophenyl,alkylsilane,0.25,0.75,0.11219750716666667,26.4060625,21.675125,0.2926982774,0.2208742517,3.583709625,3.48668325,312.88622825,245.9971245,17,10.636751375,9.30940075,9.912589,8.947214,3.162589,2.447214,5.867413625,5.05940125,4.882155375,4.32532875,1.540147125,1.14131225,0.90282125,0.6166605,0.90282125,0.6166605,0.448936,0.303381,0.448936,0.303381,0.223231125,0.14921625,0.223231125,0.14921625,34.75,27.5,0.9052412628000001,0.8580664884999999,0.0,-0.7000000000000001,-0.85,0.856536625,0.40105525,-2.163466875,-6.06190075,-12.395199999999996,-25.789977000000004,1.772402107566667,819.798117875,403.75881275,0.0523834124,0.008007281,49.137733875,40.47879375,1.5100924999999998,0.886065,82.56299999999997,62.05100000000001,89.30355725,68.5539365,6.5,5.0,0.4076924806,0.30472534700000004,0.6179177392,0.5405608255000001,0.0162419419,6.59e-06,63.426189051899996,39.9848888057,120.3546526098,42.4783897255,183.7058902687,82.3133757655,1.0,1.0,1.3931282553,1.0638933915,0.30495462500000003,0.26526,0.629611875,0.44743299999999997,0.0113240909,0.0,9.17375,0.0,16.636966875,15.412531,31.042309875,21.10918575,0.8835558750000002,0.84497275,0.64162325,0.5565765,0.116444125,0.077861,0.35837675,0.27333,0.0,0.0,42.9027285,33.807907,0.0,0.0,4.77654825,4.390415,0.116444125,0.077861
5290,difluoromethyl,nitrophenyl,cyano,alkylsilane,0.25,0.75,0.12042712259999999,21.290775,11.287,0.7396203185,0.4792892170000001,3.693805625,3.5527339999999996,221.378855625,75.774438,17,8.556598,5.207107,7.354489375,4.447214,2.729489375,1.447214,4.53137125,2.56066,3.504832125,1.973607,1.192332125,0.4736070000000001,0.64372175,0.111803,0.64372175,0.111803,0.29789175,0.0,0.29789175,0.0,0.148945875,0.0,0.148945875,0.0,30.75,16.0,0.9871250512,0.9742501025,0.0,-0.79,-1.07,0.94987125,0.161141,1.32475025,0.49,-1.53308,-4.470784,2.1297100814000003,1091.365881375,12.164797,1658.4958609935998,0.0254786402,41.094278,23.711684,1.1375725,0.52988,75.5475,38.029,80.159667125,41.026549,5.75,3.0,0.1120809894,1.6193000000000002e-05,0.8951520652,0.7903203234999999,0.0478276225,0.0,48.50179157990001,0.000185262,163.3688077616,11.421488754,211.45912168060002,11.42167404,0.875,0.0,1.235487992,0.650079559,0.35862025000000003,0.295557,0.6980216250000001,0.39604325,0.09809064029999999,0.0,28.0725,23.79000000000001,22.111327375,17.033389,17.565473375,5.261892,0.84246525,0.6849305,0.383029625,0.236009,0.096578125,0.0,0.6169703750000001,0.46994975,0.06095675,0.0,31.853371000000006,22.295281,2.93295675,0.0,4.890473,0.0,0.15753475,0.0
1831,ethylene,fluorophenyl,nitrophenyl,alkylsilane,0.5,0.5,0.12179670341666668,30.6687,23.504,0.4609693555,0.4570312540000001,3.9065825,3.773039,359.8615795,252.751978,17,11.67542675,9.8094015,10.476346,9.188982,3.726346,2.6889819999999998,6.42542625,5.2647425000000005,5.154123,4.4694910000000005,1.779123,1.219491,1.0688540000000002,0.656991,1.0688540000000002,0.656991,0.54581175,0.2972455,0.54581175,0.2972455,0.272906,0.148623,0.272906,0.148623,41.0,30.0,0.9699106668,0.9684005405,0.0,-0.9675,-1.38,1.38699525,0.6772135,1.74840875,1.2374835,-0.6502282500000001,-2.5532885,2.1127272600083336,1764.9705675,642.953867,0.0640760868,0.0060664510000000005,55.89356425,43.5030145,1.7832150000000002,1.66321,99.818,69.554,106.548871,76.050064,7.75,5.5,0.238818042,0.237330347,0.7611819592,0.7596942655000001,8.665000000000001e-06,8.214000000000001e-06,85.4631732878,45.1858081675,255.70076946970002,107.2790031385,341.1639427007,152.4648112745,1.5,1.0,1.6782439528,1.2819036465,0.31287800000000004,0.248034,0.39850875,0.3627900000000001,2.5e-09,0.0,21.57,0.0,22.05469275,11.818541499999998,32.40985875,30.2052185,0.86244475,0.7638199999999999,0.61601275,0.517365,0.09505225,0.0389305,0.38398725,0.2853395,0.042502999999999985,0.0,45.46609575,39.8285525,2.843693,0.0,6.15476275,2.1952075,0.13755525,0.0389305
8733,phenol,nitrophenyl,fluorophenyl,alkylsilane,0.25,0.75,0.1167578706,33.8615,31.137,0.3984170905,0.3645223030000001,3.714359875,3.680736,414.29818475,379.775332,17,12.6439965,11.964102000000002,11.33890425,10.877964,4.21390425,3.877964,7.084183125,6.675425999999999,5.641820625,5.438982,2.090789625,1.938982,1.300275375,1.188982,1.300275375,1.188982,0.670395,0.594491,0.670395,0.594491,0.33519775,0.297246,0.33519775,0.297246,45.75,42.0,0.9593878538,0.9524160370000002,0.0,-1.065,-1.28,1.573552125,1.312018,1.92050825,1.734967,1.085732875,0.999577,2.6540418876666667,1961.19522225,1235.837423,0.0072801522,0.0065530235,61.99450637499999,57.796674,1.993345,1.85257,112.82775,103.075,119.926657625,110.053178,8.75,8.0,0.27996113440000003,0.25519692180000003,0.7206039959999999,0.6952746529999999,0.0146138866,6.59e-06,101.4685183709,86.867489298,275.0799642159,198.23091549400002,376.38939526449997,285.098404772,1.5,1.0,1.8555071525,1.7223631190000002,0.323135125,0.26526,0.444442375,0.44145175,0.0027607829,0.0,18.70625,0.0,21.91233475,15.412531,38.6798825,36.384331,0.858520375,0.7949017499999999,0.64648225,0.5662944999999999,0.106542625,0.077861,0.35351775,0.27333,0.034937,0.0,51.65386974999999,51.3101895,2.31166975,0.0,6.62667775,4.390415,0.141479625,0.077861
7867,nitrophenyl,cyano,phenol,alkylsilane,0.25,0.75,0.1207579708,25.3837,17.9236,0.6118149176000001,0.35952252100000004,3.640314125,3.60781025,283.972115375,173.57362375,17,9.980950625,7.29069325,9.092293,6.276338,3.092293,2.276338,5.51522675,3.8170225,4.401133,2.939894,1.4470090000000002,0.939894,0.8290777500000001,0.4540315,0.8290777500000001,0.4540315,0.40032825,0.1985945,0.40032825,0.1985945,0.20016412500000005,0.09929725,0.20016412500000005,0.09929725,33.5,25.0,0.9721147438,0.951392288,1.25,-0.8537500000000001,-0.98,0.8475319999999998,0.64505,1.28926475,0.9323334999999999,-1.0554105,-3.03988,4.9144159470333335,1408.060348375,730.8704147499999,1243.8671165539,0.008035916,47.38590225,34.8547915,1.2869175,0.873215,80.559125,61.04225,86.54467312499996,65.03183125,6.375,4.75,0.183669373,0.059417698,0.8185911484999999,0.696599995,0.058429356200000004,2.3655e-06,59.088765766899996,31.4638477818,152.8600570772,109.5263033075,211.3124737086,140.9901510883,1.25,0.5,1.3689799715000002,1.006123712,0.353486625,0.31609825,0.7590672499999999,0.677437,0.011043131500000004,0.0,24.42875,20.23,18.811887375,16.776022,27.146935375,12.60004375,0.914551,0.8881469999999999,0.5097155,0.306348,0.06258425000000001,0.0377935,0.4902845,0.28691700000000003,0.02286475,0.0212515,40.71360575,29.4973705,1.42652325,1.4218465,3.81869375,2.5285795,0.085449,0.059044999999999986
4454,cyano,difluoromethyl,cyano,alkylsilane,0.25,0.75,0.10209556093333334,11.433625,11.287,0.8302565914000001,0.6605617628,3.72810575,3.5527339999999996,72.491355,69.208272,17,5.879441875,5.207107,4.937982125,4.447214,1.5629821250000002,1.447214,2.8191625,2.56066,2.218990875,1.973607,0.531490875,0.4736070000000001,0.16753099999999999,0.111803,0.16753099999999999,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,16.0,0.993607756,0.987215512,0.0,-0.37125,-0.51,0.34974124999999995,0.161141,1.00375,0.49,-2.09674,-4.470784,1.1713800527333331,15.59277025,12.164797,2073.1353039855,829.304364624,25.71548225,23.711684,0.8079500000000001,0.52988,47.024875,38.029,50.40213325,41.026549,3.375,3.0,0.0689038096,1.6193000000000002e-05,0.9527953542,0.9056069015,0.1434722228,0.0,3.9185228768,0.000185262,25.79178028610001,11.421488754,28.475870244699998,11.42167404,0.375,0.0,0.8041061695000001,0.650079559,0.392311125,0.295557,0.810926125,0.62185225,0.29427192080000003,0.0,14.86875,5.9475000000000025,15.10256725,13.171745499999998,9.15095325,5.261892,0.79309825,0.5861965,0.360545375,0.236009,0.119663625,0.0,0.639454625,0.51491825,0.0872385,0.0,18.56014825,14.8250155,2.400561,0.0,3.29281125,0.0,0.20690175,0.0
3384,acetyl,carboxyl,phenyl,alkylsilane,0.25,0.75,0.11675604393333334,22.62505,14.0711,0.436906959,0.25033704300000004,3.824008625,3.680736,238.73307575,102.0393355,17,9.598391125,7.232680249999999,8.919717375,6.33943475,2.669717375,1.83943475,5.162568125,3.64971025,4.300451875,2.85090375,1.2098585,0.669717,0.6489368750000001,0.29787375,0.6489368750000001,0.29787375,0.25,0.0,0.25,0.0,0.125,0.0,0.125,0.0,30.0,24.0,0.9302897002,0.871627612,0.0,-0.63,-0.7799999999999999,0.564395875,0.39036075,1.5628845,1.5200000000000002,1.0511995,0.582399,1.9538962322,639.2339535,42.630484,0.0621113671,0.005971222000000001,42.93805237500001,30.83999575,1.10601,0.217,69.55,55.023,75.7944565,59.526313,5.5,4.0,0.3186227895,0.147097432,0.6966566226,0.509851853,0.09633545380000001,7.051000000000003e-06,46.504392539499996,7.610847892000001,67.232033666,45.634176034,112.936686743,51.645545018,1.125,1.0,1.2834151354,1.0733699608,0.282613125,0.158026,0.4447386250000001,0.15726600000000002,0.0752150922,0.0,16.12125,0.0,14.120761375,10.966069,27.339763,12.052089,0.7520123750000001,0.50402475,0.6002023750000001,0.40502075,0.149813375,0.0,0.399797625,0.204616,0.09817425,0.0,34.3722635,15.151021,2.775189375,0.0,4.3130715,0.0,0.247987625,0.0
1009,cyano,cyclopropyl,cyano,alkylsilane,0.5,0.5,0.1158219399,13.064749999999998,11.287,0.776880624,0.5538103750000001,3.43723425,3.3217345000000003,106.22782225,75.774438,17,6.405330250000001,5.207107,5.835410499999999,4.447214,1.5854105,1.447214,3.1704950000000003,2.56066,2.73020525,1.973607,0.60520525,0.4736070000000001,0.24010225,0.111803,0.24010225,0.111803,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,18.0,16.0,0.9458384992000001,0.8916769984999999,0.0,-0.3825,-0.51,0.15789275,0.1546445,0.4230555,0.356111,-3.353088,-4.470784,1.5693630629166666,72.73811575,12.164797,2461.455286283,1640.9787859189996,27.300765500000004,23.711684,0.7514850000000001,0.52988,40.53275,38.029,44.78556175,41.026549,3.25,3.0,0.1553993102,1.6376e-05,0.909435469,0.818887314,0.15651683530000002,0.0,6.1843999720000005,0.00018712100000000005,14.905324588,11.412437724,18.509299391,11.412624869000002,0.25,0.0,0.7457754978000001,0.649821689,0.25776225,0.2199675,0.82524575,0.6504915,0.189037892,0.0,17.8425,11.895,15.51655875,13.999728499999998,10.319344,5.261892,1.0,1.0,0.35180975,0.236009,0.0,0.0,0.64819025,0.5323895000000001,0.0,0.0,25.83590275,22.295281,0.0,0.0,0.0,0.0,0.0,0.0
3618,acetyl,phenol,cyano,alkylsilane,0.25,0.75,0.1221844933,20.0043,11.287,0.7056599865000001,0.411368553,3.703547625,3.5527339999999996,201.282742625,75.774438,17,8.42742525,5.207107,7.677730999999999,4.447214,2.427731,1.447214,4.50470425,2.56066,3.6482085,1.973607,1.0576155,0.4736070000000001,0.5485884999999999,0.111803,0.5485884999999999,0.111803,0.22577325,0.0,0.22577325,0.0,0.112886625,0.0,0.112886625,0.0,26.75,16.0,0.9798584925,0.959716985,1.0,-0.6637500000000001,-0.8175,0.5032783750000001,0.161141,1.0710735,0.49,-1.678244875,-4.470784,4.460488407033332,795.99873025,12.164797,1658.4980247784,0.029806209700000006,38.582281875,23.711684,0.977085,0.52988,63.047,38.029,68.29007575,41.026549,5.0,3.0,0.1372288991,1.6193000000000002e-05,0.872197159,0.7444105109999999,0.08048664300000001,0.0,33.6872965876,0.000185262,85.2569457061,11.421488754,118.0510855218,11.42167404,1.0,0.0,1.1147540306,0.650079559,0.34490125,0.295557,0.874265625,0.74853125,0.053923785500000015,0.0,21.615,19.44,16.55867725,16.0839655,20.57842125,5.261892,0.939618125,0.87923625,0.456544625,0.236009,0.051202625,0.0,0.5434553750000001,0.32291975,0.00917925,0.0,34.085278375,22.295281,0.5367000000000001,0.0,2.515120125,0.0,0.060381875,0.0
2618,isopropyl,pyrrole,nitrophenyl,alkylsilane,0.5,0.5,0.12202607526666667,30.427125,23.02085,0.3891057925,0.32118033100000004,4.139329,3.773039,352.4171045,237.86302799999999,17,12.367413750000004,11.1933755,11.3686585,10.973607,3.6186585,2.473607,6.6717407500000006,5.7573715000000005,5.5804842500000005,5.3222135,1.7186810000000001,1.098607,1.039662,0.598607,1.039662,0.598607,0.498316,0.202254,0.498316,0.202254,0.2483332500000001,0.0994775,0.2483332500000001,0.0994775,40.5,29.0,0.9447044898,0.9179881865,2.0,-0.87,-1.38,1.212059,0.327341,1.8623667500000003,1.4653995000000002,0.699757,0.146682,1.7696436502500001,1654.6761854999993,422.3651029999999,0.0177914045,0.0060664510000000005,56.3375915,44.391069,1.6979650000000002,1.49271,95.5675,61.053,103.30786374999998,69.5680495,7.5,5.0,0.308507021,0.237330347,0.7292865465,0.69590344,0.1322201975,9.116e-06,80.5168738318,35.2932092555,230.3334926802,56.544449559499995,308.3913606175,86.91964710799999,1.25,0.5,1.6705679015000001,1.266551544,0.306607,0.23549199999999995,0.439177,0.3627900000000001,0.1196898765,0.0,25.5175,7.895,24.94812275,17.605401500000006,29.898091250000004,25.1816835,0.8545137500000001,0.7638199999999999,0.55498,0.517365,0.10298325,0.0547925,0.44502,0.407405,0.04250299999999999,0.0,45.70111125,40.2985835,2.843693,0.0,6.30140975,2.4885015,0.14548625,0.0547925
8729,phenol,nitrophenyl,cyano,alkylsilane,0.25,0.75,0.11882802906666667,23.9365,11.287,0.7161316489999999,0.432311878,3.650358875,3.5527339999999996,262.29773775,75.774438,17,9.265499,5.207107,8.12352925,4.447214,2.99852925,1.447214,5.026800125,2.56066,3.909133125,1.973607,1.358102125,0.4736070000000001,0.7616858750000001,0.111803,0.7616858750000001,0.111803,0.37314949999999997,0.0,0.37314949999999997,0.0,0.18657475,0.0,0.18657475,0.0,32.75,16.0,0.9831798352,0.9663596705,1.0,-0.895,-1.28,0.998113625,0.161141,1.29802475,0.49,-1.649447625,-4.470784,2.8605812697000004,1349.35890925,12.164797,1658.4863981852002,0.0065530235,44.95201137500001,23.711684,1.191225,0.52988,80.30475,38.029,85.413343125,41.026549,6.25,3.0,0.12760655740000001,1.6193000000000002e-05,0.872958573,0.745933339,0.014610591599999997,0.0,58.034866352899996,0.000185262,181.6752508459,11.421488754,239.5510298985,11.42167404,1.0,0.0,1.3193653725,0.650079559,0.33828362500000003,0.295557,0.720725875,0.44145175,0.0027607829,0.0,30.601250000000004,23.79000000000001,22.72276375,17.033389,20.8231115,5.261892,0.8974508750000001,0.7949017499999999,0.4011517500000001,0.236009,0.06761212500000001,0.0,0.59884825,0.4337055,0.034937,0.0,36.80273525,22.295281,2.31166975,0.0,4.43147025,0.0,0.102549125,0.0
9841,toluene,pyrrole,nitrophenyl,alkylsilane,0.25,0.75,0.12218845370000002,32.9798375,28.126275000000003,0.3663122303,0.27604946350000004,3.66040325,3.5477675000000004,400.549922375,334.12866375,17,12.473770375,11.40608875,11.36206025,10.9604105,3.98706025,3.2104105,6.9406775,6.295244999999999,5.629787625000001,5.420820250000001,1.96208275,1.5854105,1.20493875,0.9291605,1.20493875,0.9291605,0.6270045,0.45963100000000007,0.6270045,0.45963100000000007,0.31226512500000003,0.22734125,0.31226512500000003,0.22734125,43.25,34.5,0.9323671455,0.8933854929999999,2.0,-1.0575,-1.38,1.3536655,0.6105539999999999,1.7016273750000002,1.14392075,0.8662104999999999,0.479589,2.5961925691,2102.3804415,1317.773615,0.0076795525000000016,0.006058726,59.7553145,51.226515,1.73571,1.5682,104.82525,79.5685,112.180313625,87.31294925000002,8.25,6.5,0.3397320376,0.237622213,0.6617208018999999,0.5610638167,0.017226019000000002,9.462e-06,93.77523001459998,61.695624688200006,247.6673636234,91.4939802788,341.0312338375,152.366885442,1.625,1.25,1.7343711162000002,1.3944860615,0.33804612500000003,0.29837025,0.4868618750000001,0.3627900000000001,0.0077901314000000015,0.0,27.49125,11.8425,25.9225765,19.554309,32.399944625,30.18539025,0.840815625,0.7638199999999999,0.55381,0.517365,0.11668137500000005,0.08218875,0.44619,0.40974499999999997,0.04250299999999999,0.0,48.555293,46.006947,2.843693,0.0,6.923535125,3.73275225,0.15918437500000002,0.08218875
